id,venue,year,authors,title,entityUrl
2260,SIGMOD Record,2002,Marianne Winslett,Hector Garcia-Molina Speaks Out,journals/sigmod/Winslett02b
2261,SIGMOD Conference,1995,"James J. Lu, Guido Moerkotte, Joachim Sch�, V. S. Subrahmanian",Efficient Maintenance of Materialized Mediated Views,conf/sigmod/LuMSS95
2262,VLDB,1995,"Rainer Gallersd�rfer, Matthias Nicola",Improving Performance in Replicated Databases through Relaxed Coherency,conf/vldb/GallersdorferN95
2263,VLDB,1996,Nelson Mendon�a Mattos,Supporting Procedural Constructs in SQL Compilers,conf/vldb/Mattos96
2264,VLDB,2000,Dave Liles,The Zero Latency Enterprise,conf/vldb/Ladin00
2265,SIGMOD Record,2003,"Jeanne VanBriesen, Paul S. Fischbeck, Christos Faloutsos, Anastassia Ailamaki, Mitchell J. Small",An environmental sensor network to determine drinking water quality and security,journals/sigmod/AilamakiFFSV03
2266,ACM Trans. Database Syst.,2002,"Surajit Chaudhuri, Nicolas Bruno, Luis Gravano",Top-k selection queries over relational databases: Mapping strategies and performance evaluation,journals/tods/BrunoCG02
2267,ACM Trans. Database Syst.,1999,"Z. Meral �zsoyoglu, Tolga Bozkaya",Indexing Large Metric Spaces for Similarity Search Queries,journals/tods/BozkayaO99
2268,SIGMOD Conference,2000,"Carlotta Domeniconi, Vassilis J. Tsotras, George Kollios, Dimitrios Gunopulos",Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes,conf/sigmod/GunopulosKTD00
2269,VLDB,2000,Anand Deshpande,Linking Business to Deliver Value: A Data Management Challenge,conf/vldb/Deshpande00
2270,SIGMOD Conference,1995,"Hans-Peter Kriegel, Daniel A. Keim",VisDB: A System for Visualizing Large Databases,conf/sigmod/KeimK95
2271,VLDB,1998,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",WaveCluster: A Multi-Resolution Clustering Approach for Very Large Spatial Databases,conf/vldb/SheikholeslamiCZ98
2272,SIGMOD Conference,2001,John R. Smith,MPEG-7 Standard for Multimedia Databases,conf/sigmod/Smith01
2273,SIGMOD Conference,2000,"Nick Koudas, H. V. Jagadish, Divesh Srivastava",On Effective Multi-Dimensional Indexing for Strings,conf/sigmod/JagadishKS00
2274,SIGMOD Conference,1999,Anand Rajaraman,E-Commerce Database Issues and Experience,conf/sigmod/Rajaraman99
2275,VLDB,2002,"Anandi Herlekar, Atul Deopujari, Shaymsunder Gopale, Shridhar Shukla, Krithi Ramamritham",enTrans: A System for Flexible Consistency Maintenance in Directory Applications,conf/vldb/HerlekarDRGS02
2276,SIGMOD Conference,2003,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",The Design of an Acquisitional Query Processor For Sensor Networks,conf/sigmod/MaddenFHH03
2277,SIGMOD Conference,2003,"Gautam Das, Surajit Chaudhuri, Brian Babcock",Dynamic Sample Selection for Approximate Query Processing,conf/sigmod/BabcockCD03
2278,SIGMOD Conference,1998,"Mitch Cherniack, Stanley B. Zdonik",Changing the Rules: Transformations for Rule-Based Optimizers,conf/sigmod/CherniackZ98
2279,VLDB,2001,"Joseph M. Hellerstein, Vijayshankar Raman",Potter's Wheel: An Interactive Data Cleaning System,conf/vldb/RamanH01
2280,VLDB,2003,"Jens Teubner, Torsten Grust, Maurice van Keulen",Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps,conf/vldb/GrustKT03
2281,VLDB,1995,Sergey Brin,Near Neighbor Search in Large Metric Spaces,conf/vldb/Brin95
2282,VLDB,2003,Chris Jermaine,Robust Estimation With Sampling and Approximate Pre-Aggregation,conf/vldb/Jermaine03
2283,SIGMOD Record,1994,Xiaolei Qian,Jumping on the NII Bandwagon,journals/sigmod/Qian94
2284,SIGMOD Conference,2001,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",OminiSearch: A Method for Searching Dynamic Content on the Web,conf/sigmod/ButtlerLPP01
2285,SIGMOD Conference,2002,Times-Ten Team,Mid-tier caching: the TimesTen approach,conf/sigmod/Team02
2286,VLDB,2000,"Bettina Kemme, Gustavo Alonso","Don't Be Lazy, Be Consistent: Postgres-R, A New Way to Implement Database Replication",conf/vldb/KemmeA00
2287,SIGMOD Record,1999,"F�lix Saltor, Uwe Hohenstein, Ralf-Detlef Kutsche, Wilhelm Hasselbring, Gunter Saake, Stefan Conrad, Mark Roantree",Engineering Federated Information Systems: Report of EFIS '99 Workshop,journals/sigmod/ConradHHKRSS99
2288,VLDB,2000,"Michele Melchiori, Silvana Castano, G. Malvezzi, Domenico Beneventano, R. Guidetti, Alberto Corni, Sonia Bergamaschi, Maurizio Vincini",Information Integration: The MOMIS Project Demonstration,conf/vldb/BeneventanoBCCGMMV00
2289,SIGMOD Record,1996,"Guido Moerkotte, Alfons Kemper, Carsten Andreas Gerlhof",On the Cost of Monitoring and Reorganization of Object Bases for Clustering,journals/sigmod/GerlhofKM96
2290,SIGMOD Record,1995,"Leonard Loureiro, Yi Deng, Carlos Ordonez 0002, Mario Sanchez, Cyril U. Orji, Wei Sun, Artyom Shaposhnikov, Naphtali Rishe, Michael Alexopoulos, David Barton",Florida International University High Performance Database Research Center,journals/sigmod/RisheSBDOALOSS95
2291,VLDB,1997,"Dimitri Tombroff, Eric Simon, Fran�ois Llirbat",Using Versions in Update Transactions: Application to Integrity Checking,conf/vldb/LlirbatST97
2292,SIGMOD Conference,1997,"Jeffrey F. Naughton, Yihong Zhao, Prasad Deshpande",An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,conf/sigmod/ZhaoDN97
2293,SIGMOD Record,1997,"Khoa Doan, Catherine Plaisant, Ben Shneiderman, Tom Bruns",Query Previews for Networked Information Systems: A Case Study with NASA Environmental Data,journals/sigmod/DoanPSB97
2294,SIGMOD Conference,1998,"Shiby Thomas, Rakesh Agrawal, Sunita Sarawagi",Integrating Mining with Relational Database Systems: Alternatives and Implications,conf/sigmod/SarawagiTA98
2295,SIGMOD Record,1997,"John M. Tyler, Kosmas Karadimitriou",Min-Max Compression Methods for Medical Image Databases,journals/sigmod/KaradimitriouT97
2296,SIGMOD Record,1996,Jeff Sidell,The Mariposa Distributed Database Management System,journals/sigmod/Sidell96
2297,VLDB,1999,"Bennet Vance, Richard Swagerman, Michael J. Carey, Srinivasa Narayanan, Nelson Mendon�a Mattos, Donald D. Chamberlin, Doug Doole, Serge Rielau","O-O, What Have They Done to DB2?",conf/vldb/CareyCNVDRSM99
2298,SIGMOD Conference,1996,"Shamkant B. Navathe, Kiran J. Achyutuni, Edward Omiecinski",Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,conf/sigmod/AchyutuniON96
2299,VLDB,2001,"Ramez Elmasri, Leonidas Fegaras",Query Engines for Web-Accessible XML Data,conf/vldb/FegarasE01
2300,VLDB,2003,"Elizabeth Hamel, Serge Bourbonnais, Bruce G. Lindsay, Tuong C. Truong, Chengfei Liu, Jens Stankiewitz",Capturing Global Transactions from Multiple Recovery Log Files in a Partitioned Database System,conf/vldb/LiuLBHTS03
2301,VLDB J.,2001,"Joachim Hammer, Youzhong Liu, Chunbo Huang, Yihua Huang, Herman Lam, Liu Wang, Haifei Li, Stanley Y. W. Su, Charnyote Pluempitiwiriyawej, Minsoo Lee",An Internet-based negotiation server for e-commerce,journals/vldb/SuHHHLWLPLL01
2302,ACM Trans. Database Syst.,2002,"Mengchi Liu, Tok Wang Ling, Gillian Dobbie",A logical foundation for deductive object-oriented databases,journals/tods/LiuDL02
2303,SIGMOD Conference,1999,"Hasan Davulcu, Michael Kifer, I. V. Ramakrishnan, Juliana Freire",A Layered Architecture for Querying Dynamic Web Content,conf/sigmod/DavulcuFKR99
2304,SIGMOD Record,1999,"Ken Smith, Leo Obrst",Unpacking The Semantics of Source and Usage To Perform Semantic Reconciliation In Large-Scale Information Systems,journals/sigmod/SmithO99
2305,VLDB J.,2000,"Myra Spiliopoulou, Bettina Berendt",Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems,journals/vldb/BerendtS00
2306,SIGMOD Record,1999,Z. Meral �zsoyoglu,Vice Chair's Message,journals/sigmod/Ozsoyoglu99
2307,ACM Trans. Database Syst.,1996,"Yiu-Kai Ng, David W. Embley, Wai Yin Mok",A Normal Form for Precisely Characterizing Redundancy in Nested Relations,journals/tods/MokNE96
2308,VLDB,2000,"Kyuseok Shim, Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi",Approximate Query Processing Using Wavelets,conf/vldb/ChakrabartiGRS00
2309,VLDB,2001,"Motomichi Toyama, Yoko Maeda",ACTIVIEW: Adaptive data presentation using SuperSQL,conf/vldb/MaedaT01
2310,VLDB,1995,"Alfons Kemper, Guido Moerkotte, Klaus Peithner, Michael Steinbrunn",Bypassing Joins in Disjunctive Queries,conf/vldb/SteinbrunnPMK95
2311,VLDB,1996,"Michael J. Rothman, John P. Nearhos, Marisa S. Viveros",Applying Data Mining Techniques to a Health Insurance Information System,conf/vldb/ViverosNR96
2312,SIGMOD Record,1999,Serge Abiteboul,On Views and XML,journals/sigmod/Abiteboul99
2313,SIGMOD Record,1998,"Ada Wai-Chee Fu, Man Hon Wong, Chan Man Kuok",Mining Fuzzy Association Rules in Databases,journals/sigmod/KuokFW98
2314,VLDB,2002,"Peter Zabback, Christof Hasse, Gerhard Weikum, Axel M�nkeberg",Self-tuning Database Technology and Information Services: from Wishful Thinking to Viable Engineering,conf/vldb/WeikumMHZ02
2315,SIGMOD Record,1996,"Joakim Eriksson, Jonas Mellin, Sten Andler, Mikael Berndtsson, Bengt Eftring, J�rgen Hansson",DeeDS Towards a Distributed and Active Real-Time Database System,journals/sigmod/AndlerHEMBE96
2316,SIGMOD Conference,2001,"Zohreh Nazeri, Paul Ostwald, Eric Bloedorn",Experiences in Mining Aviation Safety Data,conf/sigmod/NazeriBO01
2317,SIGMOD Conference,2003,"Jennifer Widom, Chris Olston, Jing Jiang",Adaptive Filters for Continuous Queries over Distributed Data Streams,conf/sigmod/OlstonJW03
2318,SIGMOD Conference,1995,"Sushil Jajodia, Xiaoyang Sean Wang, Elisa Bertino, Claudio Bettini",Semantic Assumptions and Query Evaluation in Temporal Databases,conf/sigmod/BettiniWBJ95
2319,SIGMOD Conference,2003,"Chengyu Sun, Divyakant Agrawal, Amr El Abbadi",Hardware Acceleration for Spatial Selections and Joins,conf/sigmod/SunAA03
2320,VLDB J.,1998,"Gerhard Weikum, Peter Zabback, Peter Scheuermann",Data Partitioning and Load Balancing in Parallel Disk Systems,journals/vldb/ScheuermannWZ98
2321,VLDB J.,1997,Gennady Antoshenkov,Dictionary-Based Order-Preserving String Compression,journals/vldb/Antoshenkov97
2322,SIGMOD Record,1996,C. J. Date,"A Response to R. Camps' Article ``Domains, Relations and Religious Wars''",journals/sigmod/Date96
2323,SIGMOD Record,2001,M. Tamer �zsu,Chair's Message,journals/sigmod/Ozsu01a
2324,SIGMOD Conference,1998,"Yannis Kotidis, Nick Roussopoulos",An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees,conf/sigmod/KotidisR98
2325,SIGMOD Record,1999,Michael J. Franklin,Editor's Notes,journals/sigmod/Franklin99b
2326,SIGMOD Conference,2003,"Juliana Freire, Rajeev Rastogi, Michael Benedikt, Wenfei Fan, Chee Yong Chan",Capturing both Types and Constraints in Data Integration,conf/sigmod/BenediktCFFR03
2327,SIGMOD Record,2001,"Reagan Moore, Bertram Lud�scher, Richard Marciano","Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives",journals/sigmod/LudascherMM01
2328,ACM Trans. Database Syst.,1994,"David S. Reiner, Arnon Rosenthal",Tools and Transformations - Rigorous and Otherwise - for Practical Database Design,journals/tods/RosenthalR94
2329,SIGMOD Record,1995,Byung Suk Lee,Normalization in OODB Design,journals/sigmod/Lee95
2330,VLDB,1995,"Gio Wiederhold, Abraham Silberschatz, Gerhard Rossbach, Raghu Ramakrishnan, Jaco Zijlstra, Hector Garcia-Molina",Scientific Journals: Extinction or Explosion? (Panel),conf/vldb/RamakrishnanGRSWZ95
2331,VLDB,1998,"Tova Milo, Sagit Zohar",Using Schema Matching to Simplify Heterogeneous Data Translation,conf/vldb/MiloZ98
2332,VLDB,1998,"Ronald C. Unrau, Kaladhar Voruganti, M. Tamer �zsu",An Asynchronous Avoidance-Based Cache Consistency Algorithm for Client Caching DBMSs,conf/vldb/OzsuVU98
2333,SIGMOD Conference,2003,"Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Matthew Huras, Leslie Cranston, Timothy Malkemus",Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,conf/sigmod/PadmanabhanBMCH03
2334,VLDB,2002,Guido Moerkotte,Incorporating XSL Processing into Database Engines,conf/vldb/Moerkotte02
2335,VLDB,2002,"Michael J. Franklin, Sirish Chandrasekaran",Streaming Queries over Streaming Data,conf/vldb/ChandrasekaranF02
2336,VLDB,2000,Sridhar Ramaswamy,E.piphany Epicenter Technology Overview,conf/vldb/Ramaswamy00
2337,SIGMOD Conference,1997,"V. S. Subrahmanian, Elisa Bertino, Pierangela Samarati, Sushil Jajodia",A Unified Framework for Enforcing Multiple Access Control Policies,conf/sigmod/JajodiaSSB97
2338,VLDB J.,2003,"David J. DeWitt, Ravishankar Ramamurthy, Qi Su",A case for fractured mirrors,journals/vldb/RamamurthyDS03
2339,SIGMOD Conference,2003,Praveen Seshadri,Building Notification Services with Microsoft SQLServer,conf/sigmod/Seshadri03
2340,VLDB,1999,"S. Muthukrishnan, H. V. Jagadish, Nick Koudas",Mining Deviants in a Time Series Database,conf/vldb/KoudasMJ99
2341,VLDB,1996,"Damianos Chatziantoniou, Kenneth A. Ross",Querying Multiple Features of Groups in Relational Databases,conf/vldb/ChatziantoniouR96
2342,VLDB,2000,"Thanos Papadimitriou, Andrey Balmin, Yannis Papakonstantinou",Hypothetical Queries in an OLAP Environment,conf/vldb/BalminPP00
2343,SIGMOD Record,2001,"George M. Mohay, M. Corney, A. Anderson, Olivier Y. de Vel",Mining Email Content for Author Identification Forensics,journals/sigmod/VelACM01
2344,SIGMOD Conference,1999,"Chen Li, Ramana Yerneni, Jeffrey D. Ullman, Hector Garcia-Molina",Computing Capabilities of Mediators,conf/sigmod/YerneniLGU99
2345,SIGMOD Conference,1997,"Hector Garcia-Molina, Jennifer Widom, Brad Adelberg",The STRIP Rule System For Efficiently Maintaining Derived Data,conf/sigmod/AdelbergGW97
2346,VLDB,2002,"Yufei Tao, Dimitris Papadias",Adaptive Index Structures,conf/vldb/TaoP02
2347,VLDB,2001,"Masahiko Tsukamoto, Shojiro Nishio, Tsutomu Terada, Rie Sawai, Yin-Huei Loh",Functional Properties of Information Filtering,conf/vldb/NishioSTTL01
2348,SIGMOD Conference,1994,"Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens",Incremental Updates of Inverted Lists for Text Document Retrieval,conf/sigmod/TomasicGS94
2349,SIGMOD Conference,1995,"Lory D. Molesky, Krithi Ramamritham",Recovery Protocols for Shared Memory Database Systems,conf/sigmod/MoleskyR95
2350,SIGMOD Conference,1996,"Karl Aberer, Klemens B�hm",HyperStorM - Administering Structured Documents Using Object-Oriented Database Technology,conf/sigmod/BohmA96
2351,SIGMOD Conference,1996,"Yannis E. Ioannidis, Minos N. Garofalakis",Multi-dimensional Resource Scheduling for Parallel Queries,conf/sigmod/GarofalakisI96
2352,VLDB,1999,Umeshwar Dayal,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",conf/vldb/Dayal99
2353,VLDB,1994,"Dennis Shasha, Theodore Johnson",2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,conf/vldb/JohnsonS94
2354,SIGMOD Conference,2002,"Daniel A. Keim, Markus Wawryniuk, Alexander Hinneburg",HD-Eye: visual clustering of high dimensional data,conf/sigmod/HinneburgKW02
2355,VLDB,2001,"Sunita Sarawagi, Gayatri Sathe",Intelligent Rollups in Multidimensional OLAP Data,conf/vldb/SatheS01
2356,ACM Trans. Database Syst.,2000,Rosa Meo,Theory of dependence values,journals/tods/Meo00
2357,SIGMOD Conference,1998,"V. S. Subrahmanian, Sibel Adali, Maria Luisa Sapino, Piero A. Bonatti",A Multi-Similarity Algebra,conf/sigmod/AdaliBSS98
2358,VLDB,2000,"Matthias Jarke, J�rg K�ller, Thomas List",The Challenge of Process Data Warehousing,conf/vldb/JarkeKL00
2359,SIGMOD Record,1999,Opher Etzion,Report on NGITS'99: The 4th International Workshop on Next Generation Information Technologies and Systems,journals/sigmod/Etzion99
2360,SIGMOD Record,1996,Xiaolei Qian,Scientist's Called Upon to Take Actions,journals/sigmod/Qian96a
2361,VLDB,2000,"Alberto O. Mendelzon, Alejandro A. Vaisman",Temporal Queries in OLAP,conf/vldb/MendelzonV00
2362,ACM Trans. Database Syst.,1999,Jef Wijsen,Temporal FDs on Complex Objects,journals/tods/Wijsen99
2363,SIGMOD Record,1995,Jeff Richey,Condition Handling in SQL Persistent Stored Modules,journals/sigmod/Richey95
2364,SIGMOD Conference,2001,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",Materialized View Selection and Maintenance Using Multi-Query Optimization,conf/sigmod/MistryRSR01
2365,SIGMOD Conference,1997,"Hector Garcia-Molina, Narayanan Shivakumar",Wave-Indices: Indexing Evolving Databases,conf/sigmod/ShivakumarG97
2366,VLDB,2003,"Sihem Amer-Yahia, Mary F. Fernandez, Yu Xu, Divesh Srivastava",Phrase Matching in XML,conf/vldb/Amer-YahiaFSX03
2367,SIGMOD Conference,1998,"Apostolos Papadopoulos, Yannis Manolopoulos",Similarity Query Processing Using Disk Arrays,conf/sigmod/PapadopoulosM98
2368,SIGMOD Record,2003,Marianne Winslett,Interview with Jim Gray,journals/sigmod/Winslett03
2369,SIGMOD Conference,1999,"Viswanath Poosala, Sridhar Ramaswamy, Swarup Acharya",Selectivity Estimation in Spatial Databases,conf/sigmod/AcharyaPR99
2370,VLDB,2002,"Philippe Pucheral, Luc Bouganim",Chip-Secured Data Access: Confidential Data on Untrusted Servers,conf/vldb/BouganimP02
2371,ACM Trans. Database Syst.,2001,Richard T. Snodgrass,Editorial,journals/tods/Snodgrass01a
2372,VLDB,1998,"Sven Helmer, Guido Moerkotte, Till Westmann",Diag-Join: An Opportunistic Join Algorithm for 1:N Relationships,conf/vldb/HelmerWM98
2373,VLDB,2000,"Debra E. VanderMeer, Krithi Ramamritham, Anindya Datta, Kaushik Dutta, Helen M. Thomas",Demonstration: Enabling Scalable Online Personalization on the Web,conf/vldb/DuttaDMRT00
2374,SIGMOD Conference,1996,"Manish Arya, Mary Tork Roth, Laura M. Haas, Joachim Thomas II, Michael J. Carey, Edward L. Wimmers, Peter M. Schwarz, William F. Cody, Ronald Fagin",The Garlic Project,conf/sigmod/RothAHCCFSTW96
2375,VLDB,1995,"C�sar A. Galindo-Legaria, Eirik Dahle, Tor Didriksen",Database De-Centralization - A Practical Approach,conf/vldb/DidriksenGD95
2376,VLDB,1997,"Manoj Chavda, Peter T. Wood",Towards an ODMG-Compliant Visual Object Query Language,conf/vldb/ChavdaW97
2377,SIGMOD Record,1999,"Eric N. Hanson, Lloyd Noronha",Timer-Driven Database Triggers and Alerters: Semantics and a Challenge,journals/sigmod/HansonN99
2378,VLDB,1997,"Nikolaos Sidiropoulos, Christos Faloutsos, H. V. Jagadish",Recovering Information from Summary Data,conf/vldb/FaloutsosJS97
2379,VLDB,1997,"Shinichi Morishita, Yasuhiko Morimoto, Hiromu Ishii",Efficient Construction of Regression Trees with Range and Region Splitting,conf/vldb/MorimotoIM97
2380,SIGMOD Record,2003,Marianne Winslett,Interview with Pat Selinger,journals/sigmod/Winslett03c
2381,SIGMOD Conference,1999,Hasan M. Jamil,Belief Reasoning in MLS Deductive Databases,conf/sigmod/Jamil99
2382,VLDB,1997,"Byron Dom, Rakesh Agrawal, Prabhakar Raghavan, Soumen Chakrabarti","Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases",conf/vldb/ChakrabartiDAR97
2383,VLDB,1998,"Anthony Tomasic, Peter Fankhauser, J. Mu�oz, M. Lopez, Georges Gardarin",Experiences in Federated Databases: From IRO-DB to MIRO-Web,conf/vldb/FankhauserGLMT98
2384,VLDB,2003,"Divesh Srivastava, Nick Koudas",Data Stream Query Processing: A Tutorial,conf/vldb/KoudasS03
2385,VLDB J.,1997,"Mike P. Papazoglou, Bernd J. Kr�mer",Erratum: A Database Model for Object Dynamics,journals/vldb/PapazogluK97a
2386,SIGMOD Conference,1995,Cass Squire,Data Extraction and Transformation for the Data Warehouse,conf/sigmod/Squire95
2387,SIGMOD Conference,1998,"Tobias Mayr, Thorsten von Eicken, Michael W. Godfrey, Praveen Seshadri",Secure and Portable Database Extensibility,conf/sigmod/GodfreySE98
2388,SIGMOD Conference,1995,"Yannis E. Ioannidis, Viswanath Poosala",Balancing Histogram Optimality and Practicality for Query Result Size Estimation,conf/sigmod/IoannidisP95
2389,SIGMOD Conference,2000,"Yuan Wang, Feng Tian, David J. DeWitt, Jianjun Chen",NiagaraCQ: A Scalable Continuous Query System for Internet Databases,conf/sigmod/ChenJDTW00
2390,VLDB,1994,"W. Bruce Croft, James P. Callan, Eric W. Brown",Fast Incremental Indexing for Full-Text Information Retrieval,conf/vldb/BrownCC94
2391,SIGMOD Record,2003,"Kenneth A. Ross, Beng Chin Ooi, Frank Neven",Reminiscences on Influential Papers,journals/sigmod/RossNO03
2392,VLDB,1994,"B. Sreenath, S. Seshadri",The hcC-tree: An Efficient Index Structure for Object Oriented Databases,conf/vldb/SreenathS94
2393,SIGMOD Record,1994,"Lynn L. Peterson, Jorge C. G. Ramirez, Lon A. Smith",Medical Information Systems: Characterization and Challenges,journals/sigmod/RamirezSP94
2394,SIGMOD Conference,2000,"Panos Vassiliadis, Spyros Ligoudistianos, Diego Calvanese, Christoph Quix, Maurizio Lenzerini, Matthias Jarke, Enrico Franconi, Yannis Vassiliou",Concept Based Design of Data Warehouses: The DWQ Demonstrators,conf/sigmod/JarkeQCLFLVV00
2395,SIGMOD Record,1998,"Alberto O. Mendelzon, Paolo Atzeni",WebDB '98: International Workshop on the Web and Databases,journals/sigmod/AtzeniM98
2396,SIGMOD Record,1994,Object Database Management Group,"Response to the March 1994 ODMG-93 Commentary Written by Dr. Won Kim of UniSQL, Inc",journals/sigmod/Group94
2397,VLDB,1997,"Viswanath Poosala, Yannis E. Ioannidis",Selectivity Estimation Without the Attribute Value Independence Assumption,conf/vldb/PoosalaI97
2398,VLDB,2003,Yannis E. Ioannidis,The History of Histograms (abridged),conf/vldb/Ioannidis03
2399,SIGMOD Record,2000,"Kathleen Hornsby, Heidi Gregersen, Lex Wedemeijer, Tomi M�nnist�, John F. Roddick, Florida Estrella, Federica Mandreoli, Marlon Dumas, Lina Al-Jadir, Enric Mayol, Leopoldo E. Bertossi, Jens Lufter",Evolution and Change in Data Management - Issues and Directions,journals/sigmod/RoddickABDEGHLMMMW00
2400,VLDB,2002,C. Mohan,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,conf/vldb/Mohan02a
2401,SIGMOD Record,2002,"Chih-He Li, Irene S. Y. Kwan, Shi-Ming Huang",A Study on the Management of Semantic Transaction for Efficient Data Retrieval,journals/sigmod/HuangKL02
2402,SIGMOD Record,2003,"Beng Chin Ooi, Yanfeng Shu, Kian-Lee Tan",Relational data sharing in peer-based data management systems,journals/sigmod/OoiST03
2403,VLDB,2001,"Dan Vodislav, Sophie Cluet, Pierangelo Veltri",Views in a Large Scale XML Repository,conf/vldb/VeltriCV01
2404,VLDB J.,1997,"Mike P. Papazoglou, Bernd J. Kr�mer",A Database Model for Object Dynamics,journals/vldb/PapazogluK97
2405,VLDB,2003,"Geetika Agrawal, Paul Lucas, Arvind Sundararajan, Fabio Riccardi, Michael J. Carey, Daniela Florescu, Donald Kossmann, Till Westmann, Chris Hillery",The BEA/XQRL Streaming XQuery Processor,conf/vldb/FlorescuHKLRWCSA03
2406,VLDB,1997,"Yannis Papakonstantinou, Vasilis Vassalos",Describing and Using Query Capabilities of Heterogeneous Sources,conf/vldb/VassalosP97
2407,SIGMOD Record,1998,"Gerald Held, Hector Garcia-Molina, Michael Lesk, Jim Gray, Philip A. Bernstein, David Maier, H. V. Jagadish, Michael Stonebraker, Stefano Ceri, Joseph M. Hellerstein, David J. DeWitt, Jeffrey D. Ullman, Michael L. Brodie, Jeffrey F. Naughton, Michael J. Franklin, Hamid Pirahesh",The Asilomar Report on Database Research,journals/sigmod/BernsteinBCDFGGHHJLMNPSU98
2408,VLDB,1998,"Kyuseok Shim, Rajeev Rastogi",PUBLIC: A Decision Tree Classifier that Integrates Building and Pruning,conf/vldb/RastogiS98
2409,VLDB,2002,"Gustavo Alonso, Etzard Stolte",Efficient Exploration of Large Scientific Databases,conf/vldb/StolteA02
2410,VLDB J.,1996,"Julie Basu, Arthur M. Keller",A Predicate-based Caching Scheme for Client-Server Database Architectures,journals/vldb/KellerB96
2411,SIGMOD Record,2003,"Mohand-Said Hacid, Elisa Bertino, Ahmed K. Elmagarmid",A Database Approach to Quality of Service Specification in Video Databases,journals/sigmod/BertinoEH03
2412,VLDB,1998,"Yv�n J. Garc�a, Scott T. Leutenegger, Mario A. Lopez",On Optimal Node Splitting for R-trees,conf/vldb/GarciaLL98
2413,VLDB,1994,"Philip A. Bernstein, Umeshwar Dayal",An Overview of Repository Technology,conf/vldb/BernsteinD94
2414,SIGMOD Conference,1995,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,conf/sigmod/BhargavaGI95
2415,ACM Trans. Database Syst.,1994,V. S. Subrahmanian,Amalgamating Knowledge Bases,journals/tods/Subrahmanian94
2416,VLDB,1998,"Hector Garcia-Molina, Narayanan Shivakumar, Chandra Chekuri",Filtering with Approximate Predicates,conf/vldb/ShivakumarGC98
2417,VLDB,1999,"J. Madar, Raymond T. Ng, H. V. Jagadish",Semantic Compression and Pattern Extraction with Fascicles,conf/vldb/JagadishMN99
2418,VLDB J.,2001,"Patrick Valduriez, Philippe Pucheral, Christophe Bobineau, Luc Bouganim",PicoDBMS: Scaling down database techniques for the smartcard,journals/vldb/PucheralBVB01
2419,VLDB,1994,"R. G. G. Cattell, Bruce E. Martin",Relating Distributed Objects,conf/vldb/MartinC94
2420,VLDB,1999,"M. Tamer �zsu, Kaladhar Voruganti, Ronald C. Unrau",An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,conf/vldb/VorugantiOU99
2421,SIGMOD Record,1996,"John A. Stankovic, Krithi Ramamritham, Ming Xiong, Rajendran M. Sivasankaran, Donald F. Towsley","Integrating Temporal, Real-Time, and Active Databases",journals/sigmod/RamamrithamSSTX96
2422,SIGMOD Conference,1997,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",Efficient View Maintenance at Data Warehouses,conf/sigmod/AgrawalASY97
2423,ACM Trans. Database Syst.,2003,"Laks V. S. Lakshmanan, Raymond T. Ng, Carson Kai-Sang Leung",Efficient dynamic mining of constrained frequent sets,journals/tods/LakshmananLN03
2424,SIGMOD Record,2002,"Timothy W. Finin, Anupam Joshi","Agents, Turst, and Information Access on the Semantic Web",journals/sigmod/FininJ02
2425,SIGMOD Conference,1997,"Joachim Hammer, Hector Garcia-Molina, Svetlozar Nestorov, Ramana Yerneni, Markus M. Breunig, Vasilis Vassalos",Template-Based Wrappers in the TSIMMIS System,conf/sigmod/HammerGNYBV97
2426,VLDB,1997,"Norbert Widmann, Paula Furtado, Peter Baumann, Roland Ritsch",Geo/Environmental and Medical Data Management in the RasDaMan System,conf/vldb/BaumannFRW97
2427,SIGMOD Record,2003,Richard T. Snodgrass,Journal relevance,journals/sigmod/Snodgrass03b
